PlaceId,Autor,Nota_Avaliacao,Comentario,Quando,Timestamp,FotoPerfil,Regiao
ChIJkZ_wlXlQzpQR9PR607UkYJ8,Rodrigo Best,5,"They are fast, precise and accurate! The best service and food ever!",a year ago,2023-12-21 12:05:46+00:00,https://lh3.googleusercontent.com/a-/ALV-UjUnwr6MELiJ-BssCAAqFS2ZhUjz6r2ScBSQ8_Be9lHkMLas8sRw=s128-c0x00000000-cc-rp-mo-ba4,Itaú CEIC (Jabaquara)
ChIJkZ_wlXlQzpQR9PR607UkYJ8,Sabrina Souza,4,Good structure but a bit crowded. Employes were a bit busy,6 years ago,2019-04-14 00:06:45+00:00,https://lh3.googleusercontent.com/a/ACg8ocKzQ7tiqiYIZKMEys_a88JIAqT2-GYdvrhdJpu3qExuRoL8YQ=s128-c0x00000000-cc-rp-mo-ba4,Itaú CEIC (Jabaquara)
ChIJkZ_wlXlQzpQR9PR607UkYJ8,Vanessa Muniz,5,Top,6 years ago,2019-03-08 01:19:21+00:00,https://lh3.googleusercontent.com/a-/ALV-UjUEFgeJp4_b-Ib91ItCW8wpnI0-UqpB4OZ8ESwD-yWEq8Xoivum=s128-c0x00000000-cc-rp-mo-ba4,Itaú CEIC (Jabaquara)
ChIJkZ_wlXlQzpQR9PR607UkYJ8,tchantchong,5,Never disappoints,6 years ago,2018-11-21 22:53:58+00:00,https://lh3.googleusercontent.com/a/ACg8ocJw-V4Ivkrg7xD1PWg5cYtzDRkhotbFRXcSNRJTUQfvXFmnRsM=s128-c0x00000000-cc-rp-mo-ba3,Itaú CEIC (Jabaquara)
ChIJkZ_wlXlQzpQR9PR607UkYJ8,Lucas Nardes,5,Top,6 years ago,2019-07-06 15:06:56+00:00,https://lh3.googleusercontent.com/a-/ALV-UjWEBtIjb6SKcBRIxVaPve9sUfYqbyPQIPBQAEJivW-fBrItVdYI=s128-c0x00000000-cc-rp-mo-ba3,Itaú CEIC (Jabaquara)
ChIJxwjqU51azpQRfMRXOtkuPUQ,ASE 57,3,"Great reformation to the place. Fair price for good food. Nothing really exceptional. Service by the waitresses is poor to ok, such as wrong orders, forgotten orders, not cleaning tables immediately on vacating or waiting until you sit before they wipe the tables in front of you. Suggests poor supervision which suggests in turn, lack of management care in the service area",7 years ago,2018-05-10 00:27:45+00:00,https://lh3.googleusercontent.com/a/ACg8ocLY0tc0qbfNVoNduUwmEYFfVqp_B96YcL1097M1zz2r_Gv0pw=s128-c0x00000000-cc-rp-mo-ba4,Itaú CEIC (Jabaquara)
ChIJxwjqU51azpQRfMRXOtkuPUQ,Martin Bar,5,Very nice ! Lovely atmosphere for a breakfast ! Great start for a day.,4 years ago,2021-05-12 13:24:50+00:00,https://lh3.googleusercontent.com/a/ACg8ocKBpK5R-_t6R8a3wAJWY_vdhZNYzm0QgP6CdW0N3rNeyqVXvA=s128-c0x00000000-cc-rp-mo-ba5,Itaú CEIC (Jabaquara)
ChIJxwjqU51azpQRfMRXOtkuPUQ,Walter Uvo,5,Top,9 months ago,2024-11-11 09:28:03+00:00,https://lh3.googleusercontent.com/a-/ALV-UjWMD4QfStbS91rvGDKJqCXpAgrke6OjfKJqTbt46xlyW3c1rykFEQ=s128-c0x00000000-cc-rp-mo-ba3,Itaú CEIC (Jabaquara)
ChIJxwjqU51azpQRfMRXOtkuPUQ,Roco 01,5,Legal,7 months ago,2025-01-03 16:08:36+00:00,https://lh3.googleusercontent.com/a-/ALV-UjUCKZ9IBI1ptjtdWPOCwac-8kX96zArMaUwe3xan8PhWzTMZCY=s128-c0x00000000-cc-rp-mo,Itaú CEIC (Jabaquara)
ChIJxwjqU51azpQRfMRXOtkuPUQ,Voando Alto,5,Delicious and good assistence.,4 years ago,2021-02-28 09:18:52+00:00,https://lh3.googleusercontent.com/a-/ALV-UjXfh_cAv4N5g675ecevBH5VFPBSS_mQ0597VSqdnFY3D7YlZBNvGA=s128-c0x00000000-cc-rp-mo-ba3,Itaú CEIC (Jabaquara)
ChIJrWcooqlQzpQRyRKx7R8-1aw,Natália Capelo,1,"Pedia deles desde que me mudei para o bairro, há um ano, mas sábado passado a pizza veio com não só um mas DOIS FIOS DE CABELO em um mesmo pedaço. Entrei em contato com a pizzaria, que me disse que não sabiam como isso tinha acontecido porque todos usam toucas (como se fosse papel do cliente resolver o problema rs) e que me dariam outra pizza. Era sábado à noite e o nojo foi tanto que ninguém conseguiu continuar comendo, ficamos sem jantar e não queria mais pensar no assunto.
No domingo contatei novamente o estabelecimento e pedi o reembolso do pedido e disse que poderiam retirar a pizza, se quisessem, pois não iríamos consumir depois do que aconteceu. A funcionária me disse que se eu tivesse dito no dia anterior, conseguiriam estornar, mas que como eu pedi no dia seguinte e eu paguei no crédito, não conseguiriam. Ou seja, não bastou a falta de higiene, se recusaram a resolver o problema de maneira satisfatória com uma justificativa completamente sem nexo. Perderam não só um cliente, como farei questão de deixar meus amigos da região cientes do ocorrido para que eles não passem por uma situação tão desagradável. Estou completamente decepcionada e ainda chocada com a postura deles.",a year ago,2024-03-11 11:46:37+00:00,https://lh3.googleusercontent.com/a-/ALV-UjXD9W3ns92pPif0lMBGNYLHnyVxQOtDv7p-swULVqppfD9U15QFNg=s128-c0x00000000-cc-rp-mo-ba3,Itaú CEIC (Jabaquara)
ChIJrWcooqlQzpQRyRKx7R8-1aw,Raquel Corrêa,5,"Ótimo atendimento, entrega rápida e pizzas bem recheadas.",11 months ago,2024-08-31 22:47:39+00:00,https://lh3.googleusercontent.com/a-/ALV-UjVhQQAaqcyrwx-oM_5ptcTS2nmes9Xzohel6cCm3SSIre2aB486ZA=s128-c0x00000000-cc-rp-mo-ba4,Itaú CEIC (Jabaquara)
ChIJrWcooqlQzpQRyRKx7R8-1aw,Salvatore Amato,5,"Pizza excelente,  com ingredientes de primeira linha,  uma delícia!!! Sou cliente e compro toda semana.",4 years ago,2021-04-03 23:05:07+00:00,https://lh3.googleusercontent.com/a-/ALV-UjUGgK7rgPmIOliSh71AQIvDcByu0d39-n0Jp87wLtUJ-8_QNsXnXQ=s128-c0x00000000-cc-rp-mo-ba4,Itaú CEIC (Jabaquara)
ChIJrWcooqlQzpQRyRKx7R8-1aw,Marcial Flores,1,"Mudou de dono, a pizza ficou horrível. Produtos usados pra fazer as pizzas de péssima qualidade. Fiquei mais de um ano sem pedir ( mudei de fornecedor )...resolvi conferir e pedir novamente, me arrependi",3 years ago,2021-09-23 21:55:22+00:00,https://lh3.googleusercontent.com/a/ACg8ocIrx0BWGBB0QNjEzBfe0_hIzbq6b6Z_juFVAlEl1qmQA1Z_lw=s128-c0x00000000-cc-rp-mo-ba3,Itaú CEIC (Jabaquara)
ChIJrWcooqlQzpQRyRKx7R8-1aw,Luci F.,5,Pizza boa. Cardápio para diversos gostos. É só retirada ou entrega.,2 years ago,2023-04-07 23:27:22+00:00,https://lh3.googleusercontent.com/a-/ALV-UjVQtE9Xwc5BG5hUrI8GyonYUS_lJL2-OaXWq_EfeNmBDWQ6ZZidzw=s128-c0x00000000-cc-rp-mo-ba5,Itaú CEIC (Jabaquara)
ChIJecKZYIJazpQRFtiurbC8SL0,Heloisa Stoev Toyoyoshi,5,"It was a pleasure being here, the food is delicious and well served. Thanks for everything, we’ll be back!",a year ago,2024-07-05 01:56:03+00:00,https://lh3.googleusercontent.com/a-/ALV-UjVLdR_npaecFiLPB5ffesj36Qp3wMYauB_ttwnBb5oetMDZCBNB=s128-c0x00000000-cc-rp-mo,Itaú CEIC (Jabaquara)
ChIJecKZYIJazpQRFtiurbC8SL0,Rafael Pacheco,4,"All you can eat sushi with good price and great offer of hot, cold plates. Tuna, salmon and white fish options.
Sometimes you can fell the smell of the fry coming from the kitchen, if you have the chance grab a seat in the external area.",2 years ago,2022-12-21 20:52:31+00:00,https://lh3.googleusercontent.com/a-/ALV-UjWr8U3DfusDFS1U4WIejv67h9G4UeD7rFchnxvZJJGL0RRTIITpaA=s128-c0x00000000-cc-rp-mo-ba5,Itaú CEIC (Jabaquara)
ChIJecKZYIJazpQRFtiurbC8SL0,Ale M,4,Great food. All you can eat sushi or individual plates. Not recommended for vegetarians. Highly recommended for very hungry people. Somewhat cramped but overall great service and a pleasant dining location.,8 years ago,2017-04-28 16:01:16+00:00,https://lh3.googleusercontent.com/a/ACg8ocK14Swh0VE2SdmK3uyvVYcOEcRZB2x75Vhu5gfm_9DOZoWsvg=s128-c0x00000000-cc-rp-mo,Itaú CEIC (Jabaquara)
ChIJecKZYIJazpQRFtiurbC8SL0,Ramon Hasman,3,"Nice food, but to expensive for what it delivers",7 years ago,2017-10-20 01:47:14+00:00,https://lh3.googleusercontent.com/a-/ALV-UjVVpm6LAGyl918PqCNinxN4amIyy9qreSfiMmF672dFAtF8ARIsvw=s128-c0x00000000-cc-rp-mo-ba4,Itaú CEIC (Jabaquara)
