PlaceId,Nome,Endereco,Telefone,Website,Avaliacao,TotalAvaliacoes,FaixaPreco,Tipos,Latitude,Longitude,Horario_Semana,AbertoAgora,StatusNegocio,Regiao
ChIJkZ_wlXlQzpQR9PR607UkYJ8,McDonald's,"Av. Washington Luís, 3990 - Chácara Flora, São Paulo - SP, 04626-000, Brazil",+55 800 888 1955,https://www.mcdonalds.com.br/?utm_source=[gmb]&utm_medium=[website][WLZ]&utm_campaign=[youmap][digital],4.0,10469.0,2.0,"establishment, food, point_of_interest, restaurant",-23.6438914,-46.6720058,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJxwjqU51azpQRfMRXOtkuPUQ,Recanto da Mascote,"Av. Mascote, 952 - Vila Mascote, São Paulo - SP, 04363-001, Brazil",+55 11 5563-6400,,4.3,2817.0,3.0,"bakery, establishment, food, point_of_interest, restaurant, store",-23.6466947,-46.6701556,Monday: 6:00 AM – 10:00 PM; Tuesday: 6:00 AM – 10:00 PM; Wednesday: 6:00 AM – 10:00 PM; Thursday: 6:00 AM – 10:00 PM; Friday: 6:00 AM – 10:00 PM; Saturday: 6:00 AM – 10:00 PM; Sunday: 6:00 AM – 10:00 PM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJrWcooqlQzpQRyRKx7R8-1aw,Espaço da Pizza,"Zap (13) 99633-7490 - Rua das Flechas, 13 - Vila Santa Catarina, São Paulo - SP, 04364-030, Brazil",+55 11 5565-6313,,4.2,25.0,,"establishment, food, point_of_interest, restaurant",-23.6458984,-46.6725359,Monday: Open 24 hours; Tuesday: 6:00 – 11:00 PM; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 6:00 PM – 12:00 AM; Saturday: 6:00 PM – 12:00 AM; Sunday: 6:00 – 11:30 PM,False,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJecKZYIJazpQRFtiurbC8SL0,Hiatari Sushi Vila Mascote,"Av. Mascote, 1.454 - Jabaquara, São Paulo - SP, 04363-001, Brazil",+55 11 5031-0165,,4.5,3586.0,2.0,"establishment, food, point_of_interest, restaurant",-23.6434838,-46.6693343,"Monday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Tuesday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Wednesday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Thursday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Friday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 12:00 – 11:00 PM",True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJY3PsVJ1azpQRGdQHFE54LDw,La Pasta Gialla,"Av. Mascote, 994 - Vila Mascote, São Paulo - SP, 04363-001, Brazil",+55 11 2361-0322,https://lapastagialla.com.br/2020/vila-mascote/,4.2,1126.0,2.0,"bar, establishment, food, point_of_interest, restaurant",-23.6463634,-46.6702896,"Monday: Closed; Tuesday: 12:00 – 3:00 PM, 7:00 PM – 12:00 AM; Wednesday: 12:00 – 3:00 PM, 7:00 PM – 12:00 AM; Thursday: 12:00 – 3:00 PM, 7:00 PM – 12:00 AM; Friday: 12:00 – 3:00 PM, 7:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: 12:00 PM – 12:00 AM",True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJcy2qebZQzpQRVmKGlTGYwnY,Lá no Escondidinho,"R. Dr. Abelardo Vergueiro César, 556 - Vila Alexandria, São Paulo - SP, 04635-080, Brazil",+55 11 3530-3644,,4.7,227.0,2.0,"cafe, establishment, food, point_of_interest, restaurant, store",-23.6397902,-46.6724743,,,CLOSED_TEMPORARILY,Itaú CEIC (Jabaquara)
ChIJ8aG65YJazpQRNqToBW3L1-w,Solare Forno e Grelha,"R. Palestina, 327 - Vila Mascote, São Paulo - SP, 04362-030, Brazil",+55 11 5677-4185,,4.3,1943.0,2.0,"establishment, food, point_of_interest, restaurant",-23.644234,-46.6686534,"Monday: 11:30 AM – 3:00 PM; Tuesday: 11:30 AM – 3:00 PM, 6:30 – 11:00 PM; Wednesday: 11:30 AM – 3:00 PM, 6:30 – 11:00 PM; Thursday: 11:30 AM – 3:00 PM, 6:30 – 11:00 PM; Friday: 11:30 AM – 3:00 PM, 6:30 – 11:30 PM; Saturday: 11:30 AM – 4:00 PM, 6:30 – 11:30 PM; Sunday: 11:30 AM – 4:00 PM",True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJQ0D2UJ1azpQRrxP38MWDylY,Operetta Pizza Delivery,"Av. Mascote, 944 - Vila Mascote, São Paulo - SP, 04363-001, Brazil",+55 11 5671-2121,http://www.operetta.com.br/,4.1,131.0,,"establishment, food, meal_delivery, point_of_interest, restaurant",-23.6468107,-46.6698928,Monday: 6:00 – 11:30 PM; Tuesday: 6:00 – 11:30 PM; Wednesday: 6:00 – 11:30 PM; Thursday: 6:00 – 11:30 PM; Friday: 6:00 PM – 12:00 AM; Saturday: 6:00 PM – 12:00 AM; Sunday: 6:00 – 11:30 PM,False,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJefODW51azpQRvpGgCEgzk-c,Hino,"Av. Mascote, 905 - Vila Mascote, São Paulo - SP, 04363-001, Brazil",+55 11 5565-0545,,4.3,1549.0,2.0,"establishment, food, point_of_interest, restaurant",-23.6472182,-46.6701895,"Monday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Tuesday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Wednesday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Thursday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Friday: 12:00 – 3:00 PM, 6:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: 12:00 – 11:00 PM",True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJl3Urtn9QzpQRbge4z7Q7DCs,BR Mania Conveniência,"Av. Washington Luís, 4552 - Santo Amaro, São Paulo - SP, 04626-000, Brazil",,https://www.postospetrobras.com.br/aproveite-a-parada/br-mania,5.0,2.0,,"atm, cafe, car_repair, convenience_store, establishment, finance, food, gas_station, meal_takeaway, point_of_interest, restaurant, store",-23.6391005,-46.67267,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,True,OPERATIONAL,Itaú CEIC (Jabaquara)
